Designator,Mid X,Mid Y,Rotation,Layer
BOOT1,161.78805,-66.3021,0.0,bottom
C1,128.95045,-33.9153,0.0,bottom
C2,152.64875,-62.265625,180.0,bottom
C3,143.89875,-62.515625,90.0,bottom
C4,152.89875,-71.015625,270.0,bottom
C5,152.39875,-72.515625,180.0,bottom
C6,143.44905,-70.76685,0.0,bottom
C7,137.0831,-34.6128,90.0,bottom
C8,135.2972,-34.6128,90.0,bottom
C9,128.1536,-37.7277,0.0,bottom
D1,43.18,-41.89375,90.0,bottom
D10,219.3925,-41.89375,90.0,bottom
D11,238.4425,-41.89375,90.0,bottom
D12,262.09875,-41.89375,90.0,bottom
D13,40.79875,-60.94375,90.0,bottom
D14,62.23,-60.94375,90.0,bottom
D15,81.28,-60.94375,90.0,bottom
D16,100.33,-60.94375,90.0,bottom
D17,119.38,-60.94375,90.0,bottom
D18,138.43,-60.94375,90.0,bottom
D19,167.005,-60.94375,90.0,bottom
D2,66.9925,-41.984375,90.0,bottom
D20,186.055,-60.94375,90.0,bottom
D21,205.105,-60.94375,90.0,bottom
D22,224.155,-60.94375,90.0,bottom
D23,243.205,-60.94375,90.0,bottom
D24,264.63625,-60.94375,90.0,bottom
D25,38.4175,-79.99375,90.0,bottom
D26,57.4675,-79.99375,90.0,bottom
D27,76.5175,-79.99375,90.0,bottom
D28,95.5675,-79.99375,90.0,bottom
D29,114.6175,-79.99375,90.0,bottom
D3,85.88625,-41.984375,90.0,bottom
D30,133.6675,-79.99375,90.0,bottom
D31,171.92875,-80.215625,90.0,bottom
D32,190.8175,-79.99375,90.0,bottom
D33,209.8675,-79.99375,90.0,bottom
D34,228.9175,-79.99375,90.0,bottom
D35,247.9675,-79.99375,90.0,bottom
D36,267.0175,-79.99375,90.0,bottom
D37,156.133125,-83.565625,90.0,bottom
D38,38.4175,-99.04375,90.0,bottom
D39,57.4675,-99.04375,90.0,bottom
D4,105.0925,-41.984375,90.0,bottom
D40,76.5175,-99.04375,90.0,bottom
D41,80.9925,-100.0,90.0,bottom
D42,124.1425,-99.04375,90.0,bottom
D43,152.7175,-99.04375,90.0,bottom
D44,181.2925,-99.04375,90.0,bottom
D45,192.9925,-99.1,90.0,bottom
D46,228.9175,-99.04375,90.0,bottom
D47,247.9675,-99.04375,90.0,bottom
D48,267.0175,-99.04375,90.0,bottom
D5,124.1425,-41.984375,90.0,bottom
D6,128.74875,-41.984375,90.0,bottom
D7,151.3703,-46.6572,90.0,bottom
D8,181.2925,-41.89375,90.0,bottom
D9,200.3425,-41.89375,90.0,bottom
F1,140.14785,-30.74335,0.0,bottom
J1,147.79875,-30.74115,180.0,bottom
MX1,38.26125,-38.321875,0.0,bottom
MX10,214.47375,-38.321875,0.0,bottom
MX11,233.52375,-38.321875,0.0,bottom
MX12,257.33625,-38.321875,0.0,bottom
MX13,35.88,-57.371875,0.0,bottom
MX14,57.31125,-57.371875,0.0,bottom
MX15,76.36125,-57.371875,0.0,bottom
MX16,95.41125,-57.371875,0.0,bottom
MX17,114.46125,-57.371875,0.0,bottom
MX18,133.51125,-57.371875,0.0,bottom
MX19,162.08625,-57.371875,0.0,bottom
MX2,62.07375,-38.321875,0.0,bottom
MX20,181.13625,-57.371875,0.0,bottom
MX21,200.18625,-57.371875,0.0,bottom
MX22,219.23625,-57.371875,0.0,bottom
MX23,238.28625,-57.371875,0.0,bottom
MX24,259.7175,-57.371875,0.0,bottom
MX25,33.49875,-76.421875,0.0,bottom
MX26,52.54875,-76.421875,0.0,bottom
MX27,71.59875,-76.421875,0.0,bottom
MX28,90.64875,-76.421875,0.0,bottom
MX29,109.69875,-76.421875,0.0,bottom
MX3,81.12375,-38.321875,0.0,bottom
MX30,128.74875,-76.421875,0.0,bottom
MX31,166.84875,-76.421875,0.0,bottom
MX32,185.89875,-76.421875,0.0,bottom
MX33,204.94875,-76.421875,0.0,bottom
MX34,223.99875,-76.421875,0.0,bottom
MX35,243.04875,-76.421875,0.0,bottom
MX36,262.09875,-76.421875,0.0,bottom
MX37,147.79875,-76.421875,180.0,bottom
MX38,33.49875,-95.471875,0.0,bottom
MX39,52.54875,-95.471875,0.0,bottom
MX4,100.17375,-38.321875,0.0,bottom
MX40,71.59875,-95.471875,0.0,bottom
MX41,90.64875,-95.471875,180.0,bottom
MX42,119.22375,-95.471875,0.0,bottom
MX43,147.79875,-95.471875,0.0,bottom
MX44,176.37375,-95.471875,0.0,bottom
MX45,204.94875,-95.471875,180.0,bottom
MX46,223.99875,-95.471875,0.0,bottom
MX47,243.04875,-95.471875,0.0,bottom
MX48,262.09875,-95.471875,0.0,bottom
MX5,119.22375,-38.321875,0.0,bottom
MX6,138.27375,-38.321875,180.0,bottom
MX7,157.32375,-38.321875,180.0,bottom
MX8,176.37375,-38.321875,0.0,bottom
MX9,195.42375,-38.321875,0.0,bottom
R1,155.498125,-33.81865,270.0,bottom
R2,154.3075,-32.628025,90.0,bottom
R3,167.06055,-68.6833,180.0,bottom
R4,169.2293,-68.6833,180.0,bottom
SW1,147.80235,-95.3654,0.0,bottom
U1,148.39875,-66.765625,0.0,bottom
U2,140.02,-33.71985,90.0,bottom
U3,132.5513,-34.7512,0.0,bottom
